<_csv.reader object at 0x7f878de6ea50>
Year/Année,Month/Mois,0
2017,Sep,7134
2018,Apr,7711
2018,Aug,7076
2018,Dec,8129
2018,Feb,8020
2018,Jan,9422
2018,Jul,7048
2018,Jun,7017
2018,Mar,8261
2018,May,7362
2018,Nov,7667
2018,Oct,7685
2018,Sep,7077
2019,Apr,8067
2019,Aug,7767
2019,Dec,8882
2019,Feb,8047
2019,Jan,9200
2019,Jul,7805
2019,Jun,7506
2019,Mar,8628
2019,May,8050
2019,Nov,8530
2019,Oct,8476
2019,Sep,3082
2019,ep,0
2019,Sep,4489
2020,Apr,10208
2020,Aug,7461
2020,Feb,8194
2020,Jan,9385
2020,Jul,7708
2020,Jun,7689
2020,Mar,8711
2020,May,9116
2020,Sep,7288
